Rank (of 2021),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016),Rank Change From 2016
206,Tamiscal High (Alternative),9-12,Tamalpais Union High,117,14.6,6.8 %,89.6,246,40
207,Willits Charter,6-12,Willits Unified,125,20.8,74.4 %,89.6,,(n/a)
208,Gabrielino High,9-12,San Gabriel Unified,"1,813",25.1,53.8 %,89.5,112,96
209,San Diego International Studies,9-12,San Diego Unified,995,24.8,55.9 %,89.4,227,18
210,Francisco Bravo Medical Magnet High,9-12,Los Angeles Unified,"1,847",26.3,80.8 %,89.4,223,13
211,Galileo High,9-12,San Francisco Unified,"1,890",19.4,76.4 %,89.4,365,154
212,Samueli Academy,9-12,Orange County Department Of Education,376,18.8,72.1 %,89.4,284,72
213,El Dorado High,9-12,Placentia-Yorba Linda Unified,"1,910",25.8,20.7 %,89.3,184,29
214,Malibu High,6-12,Santa Monica-Malibu Unified,"1,106",20.4,11.6 %,89.3,106,108
215,High Technical High,9-12,San Diego Unified,583,20.1,40.8 %,89.3,701,486
216,Laguna Hills High,9-12,Saddleback Valley Unified,"1,608",25.5,29.0 %,89.3,159,57
217,Orcutt Academy Charter,K-12,Orcutt Union Elementary,761,24.5,25.9 %,89.3,121,96
218,Maria Carrillo High,9-12,Santa Rosa High,"1,603",23.9,16.8 %,89.3,210,8
219,Newbury Park High,9-12,Conejo Valley Unified,"2,511",25.6,15.2 %,89.1,454,235
220,Elise P. Buckingham Charter Magnet High,9-12,Vacaville Unified,454,22.7,15.4 %,89.1,281,61
221,Lincoln (Abraham) High,9-12,San Francisco Unified,"2,046",21.3,51.8 %,89.1,382,161
222,West Hills High,9-12,Grossmont Union High,"1,942",27.3,45.8 %,89,297,75
223,University Preparatory High,9-12,Tulare County Office Of Education,245,27.2,39.6 %,88.9,549,326
224,Dublin High,9-12,Dublin Unified,"2,273",22.5,9.1 %,88.8,122,102
225,Hillsdale High,9-12,San Mateo Union High,"1,375",19,11.9 %,88.8,236,11
226,Analy High,9-12,West Sonoma County Union High,"1,273",21.9,16.2 %,88.7,156,70
227,Santiago High,9-12,Corona-Norco Unified,"3,580",25.5,25.8 %,88.7,315,88
228,Scotts Valley High,9-12,Scotts Valley Unified,841,23.3,10.5 %,88.5,151,77
229,Marina High,9-12,Huntington Beach Union High,"2,408",26.1,18.7 %,88.5,245,16
230,Templeton High,9-12,Templeton Unified,742,21.2,9.6 %,88.5,332,102
231,Claremont High,9-12,Claremont Unified,"2,359",25.6,32.4 %,88.4,206,25
232,Glen A. Wilson High,9-12,Hacienda La Puente Unified,"1,594",26.1,54.5 %,88.4,301,69
233,Carlsbad Seaside Academy,9-12,Carlsbad Unified,40,20,7.5 %,88.4,380,147
234,Heritage High,9-12,Liberty Union High,"2,561",24.1,14.9 %,88.3,163,71
235,Eastlake High,9-12,Sweetwater Union High,"3,113",28,19.2 %,88.2,207,28
236,Connections Visual and Performing Arts Academy,7-12,Summerville Union High,227,227,25.6 %,88.2,77,159
237,Bella Vista High,9-12,San Juan Unified,"2,065",25.8,24.3 %,88.2,186,51
238,Santa Teresa High,9-12,East Side Union High,"2,227",23.9,20.9 %,88.2,234,4
239,Silver Creek High,9-12,East Side Union High,"2,458",24,41.7 %,88.2,350,111
240,Design Technical High,9-12,San Mateo Union High,260,28.8,15.4 %,88.1,,(n/a)
241,John F. Kennedy High,9-12,Anaheim Union High,"2,433",28.9,45.4 %,88,306,65
242,Summit Public School: Tahoma,9-12,Santa Clara County Office Of Education,275,21.1,48.7 %,87.9,406,164
243,Petaluma High,9-12,Petaluma Joint Union High,"1,354",21.8,31.2 %,87.9,384,141
244,Gateway High,9-12,San Francisco Unified,482,17.8,39.8 %,87.9,337,93
245,Palisades Charter High,9-12,Los Angeles Unified,"2,970",23.9,29.6 %,87.8,258,13
246,Village Academy High School at Indian Hill,9-12,Pomona Unified,325,20.3,89.2 %,87.8,615,369
247,Helix High,9-12,Grossmont Union High,"2,475",26,60.9 %,87.8,440,193
248,Granada High,9-12,Livermore Valley Joint Unified,"2,059",22.8,15.1 %,87.8,157,91
249,Wallenberg (Raoul) Traditional High,9-12,San Francisco Unified,636,21.2,60.5 %,87.7,407,158
250,South High,9-12,Torrance Unified,"2,110",23.1,16.1 %,87.7,141,109
251,Pleasant Valley High,9-12,Chico Unified,"1,816",23.2,32.9 %,87.6,275,24
252,Nuview Bridge Early College High,9-12,Nuview Union,600,30,68.3 %,87.6,362,110
253,Kearny College Connections,9-12,San Diego Unified,401,23.5,68.3 %,87.5,150,103
254,EDUHSD Virtual Academy at Shenandoah,9-12,El Dorado Union High,91,22.7,6.6 %,87.5,373,119
255,Calabasas High,9-12,Las Virgenes Unified,"1,903",26.4,8.4 %,87.5,278,23
256,Valencia High,9-12,Placentia-Yorba Linda Unified,"2,797",26.6,55.0 %,87.4,280,24
257,Rancho Cucamonga High,9-12,Chaffey Joint Union High,"3,444",27.3,42.6 %,87.4,269,12
258,Parkview,K-12,Placentia-Yorba Linda Unified,221,36.8,7.7 %,87.4,261,3
259,Canyon High,9-12,William S. Hart Union High,"2,327",25.8,22.0 %,87.3,287,28
260,Westminster High,9-12,Huntington Beach Union High,"2,622",25.4,77.9 %,87.1,327,67
261,College Park High,9-12,Mt. Diablo Unified,"2,013",23.9,21.6 %,87.1,198,63
262,Washington (George) High,9-12,San Francisco Unified,"2,054",20.7,62.2 %,87.1,325,63
263,Ernest S. McBride Senior High,9-12,Long Beach Unified,565,24.5,39.8 %,87,421,158
264,Mission Viejo High,9-12,Saddleback Valley Unified,"2,407",25.3,19.2 %,87,344,80
265,Castro Valley High,9-12,Castro Valley Unified,"2,917",24.5,20.3 %,86.9,277,12
266,John A. Rowland High,9-12,Rowland Unified,"2,221",26.7,53.3 %,86.9,273,7
267,Grove,7-12,Redlands Unified,214,19.4,18.2 %,86.8,152,115
268,Benicia High,9-12,Benicia Unified,"1,664",21.8,17.9 %,86.8,345,77
269,California Preparatory Academy,9-12,Capistrano Unified,176,44,9.1 %,86.8,331,62
270,Dana Hills High,9-12,Capistrano Unified,"2,679",27.3,21.5 %,86.8,359,89
271,Mountain Valley Academy,K-12,Ramona City Unified,213,26.6,9.9 %,86.8,,(n/a)
272,San Diego SCPA,6-12,San Diego Unified,"1,422",24.1,56.4 %,86.7,256,16
273,Chino Hills High,9-12,Chino Valley Unified,"2,912",27.4,27.8 %,86.6,238,35
274,Math Science & Technology Magnet Academy At Roosevelt High,9-12,Los Angeles Unified,467,23.3,89.5 %,86.6,511,237
275,High Technical High International,9-12,San Diego Unified,399,21,41.4 %,86.5,502,227
276,Riverside Virtual,K-12,Riverside Unified,87,7.9,31.0 %,86.5,170,106
277,Bear River High,9-12,Nevada Joint Union High,696,24,22.4 %,86.4,304,27
278,Torrance High,9-12,Torrance Unified,"2,071",25.5,35.2 %,86.4,260,18
279,Escondido Charter High,9-12,Escondido Union High,765,17.3,33.2 %,86.3,213,66
280,Olympian High,9-12,Sweetwater Union High,"2,519",27.9,27.4 %,86.3,227,53
281,Aspire Lionel Wilson College Preparatory Academy,6-12,Oakland Unified,531,23,91.3 %,86.2,716,435
282,Ann Sobrato High,9-12,Morgan Hill Unified,"1,477",23,31.0 %,86.2,282,
283,International Studies Learning Center at Legacy High School Complex,6-12,Los Angeles Unified,863,23.9,90.2 %,86.2,424,141
284,Dos Pueblos Senior High,9-12,Santa Barbara Unified,"2,130",24.2,28.1 %,86.1,329,45
285,Placer High,9-12,Placer Union High,"1,381",23.4,28.5 %,86.1,271,14
286,Menlo-Atherton High,9-12,Sequoia Union High,"2,275",19.6,33.2 %,86.1,383,97
287,Sir Francis Drake High,9-12,Tamalpais Union High,"1,077",18.8,6.8 %,86,138,149
288,Glacier High School Charter,9-12,Yosemite Unified,103,17.1,29.1 %,86,467,179
289,Making Waves Academy,5-12,Contra Costa County Office Of Education,759,18.5,80.8 %,86,426,137
290,Citrus Valley High,9-12,Redlands Unified,"2,191",25.1,50.8 %,86,342,52
291,San Marcos High,9-12,San Marcos Unified,"3,048",26.5,30.4 %,86,233,58
292,San Clemente High,9-12,Capistrano Unified,"3,024",26.7,20.0 %,86,253,39
293,Sonora High,9-12,Sonora Union High,940,21.3,37.8 %,85.8,351,58
294,Academy of Medical Arts at Carson High,9-12,Los Angeles Unified,510,25.5,60.6 %,85.8,175,119
295,Adrian Wilcox High,9-12,Santa Clara Unified,"1,977",23.2,41.6 %,85.7,296,1
296,Torrey Pines High,9-12,San Dieguito Union High,"2,602",27.1,5.7 %,85.6,124,172
297,Cosumnes Oaks High,9-12,Elk Grove Unified,"2,237",20.9,33.2 %,85.6,292,5
298,Central Coast New Technical High,9-12,Lucia Mar Unified,341,17,34.0 %,85.6,591,293
