Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
1,Teach Elementary,4-6,San Luis Coastal Unified,185,30.8,17.3 %,99.5,2
2,Elkhorn,4-8,Lodi Unified,272,27.2,41.5 %,99.4,1
3,La Jolla Elementary,K-5,San Diego Unified,559,23.2,9.7 %,99.4,8
4,Bullis Charter,K-8,Santa Clara County Office Of Education,744,19,0.7 %,99.4,3
5,Jack L. Weaver Elementary,K-5,Los Alamitos Unified,685,26.3,4.4 %,99.3,20
6,William Faria Elementary,K-5,Cupertino Union,693,25.6,0.4 %,99.3,4
7,North Star Academy,3-8,Redwood City Elementary,523,27.5,10.1 %,99.3,6
8,Ocean Air,K-6,Del Mar Union Elementary,738,23.8,1.4 %,99.3,11
9,Valentine Elementary,K-5,San Marino Unified,561,21.5,2.5 %,99.2,23
10,Manchester Gate,2-6,Fresno Unified,752,30,55.3 %,99.2,5
11,Nelson S. Dilworth Elementary,K-5,Cupertino Union,460,21.9,2.6 %,99.2,7
12,Pacific Rim Elementary,K-5,Carlsbad Unified,799,26.6,5.1 %,99.2,16
13,Murdock-Portal Elementary,K-5,Cupertino Union,573,26,1.4 %,99.1,9
14,Herbert Hoover Elementary,K-5,Palo Alto Unified,406,20.3,6.9 %,99.1,21
15,Wonderland Avenue Elementary,K-5,Los Angeles Unified,521,26,7.7 %,99.1,30
16,J. M. Amador Elementary,K-5,Dublin Unified,741,22.4,1.1 %,99.1,
17,John Gomes Elementary,K-6,Fremont Unified,820,24.8,4.3 %,99,38
18,Wagner Ranch Elementary,K-5,Orinda Union Elementary,403,22.3,1.0 %,99,18
19,Del Mar Heights Elementary,K-6,Del Mar Union Elementary,459,21.8,3.9 %,99,59
20,Mission San Jose Elementary,K-6,Fremont Unified,622,28.2,2.6 %,99,15
21,Covington Elementary,K-6,Los Altos Elementary,559,22.3,2.3 %,99,10
22,Argonaut Elementary,K-5,Saratoga Union Elementary,391,19.5,0.8 %,99,35
23,Ethan B. Allen Elementary,K-6,Garden Grove Unified,821,28.3,31.1 %,99,36
24,Carver Elementary,K-5,San Marino Unified,586,21.7,2.6 %,99,28
25,Accelerated Achievement Academy,4-8,Hollister,139,23.1,54.0 %,98.9,140
26,Del Rey Elementary,K-5,Orinda Union Elementary,407,23.9,0.0 %,98.9,67
27,Wildwood Elementary,K-5,Piedmont City Unified,312,22.2,0.0 %,98.8,26
28,Roscomare Road Elementary,K-5,Los Angeles Unified,453,22.6,4.6 %,98.8,63
29,Millikin Elementary,K-5,Santa Clara Unified,522,29,3.6 %,98.8,25
30,Williams Elementary,K-5,San Jose Unified,693,28.8,3.9 %,98.7,46
31,Stevenson Ranch Elementary,K-6,Newhall,793,24.7,7.3 %,98.7,75
32,Golden Elementary,K-6,Placentia-Yorba Linda Unified,829,29.6,10.6 %,98.7,98
33,Springer Elementary,K-6,Los Altos Elementary,522,21.7,2.5 %,98.7,22
34,Solana Pacific Elementary,4-6,Solana Beach Elementary,576,25,4.2 %,98.7,125
35,Beach Elementary,K-5,Piedmont City Unified,335,20.9,1.8 %,98.7,232
36,Canyon Charter Elementary,K-5,Los Angeles Unified,400,23.5,4.3 %,98.7,19
37,Blue Hills Elementary,K-5,Cupertino Union,383,21.2,2.9 %,98.7,17
38,William Regnart Elementary,K-5,Cupertino Union,531,24.1,2.5 %,98.7,12
39,Tom Matsumoto Elementary,K-6,Evergreen Elementary,762,25.4,5.1 %,98.6,33
40,Silver Spur Elementary,K-5,Palos Verdes Peninsula Unified,547,26,1.8 %,98.6,13
41,Naples Elementary,K-5,Long Beach Unified,372,28.6,11.6 %,98.6,203
42,Forest Hill Elementary,K-5,Campbell Union,631,26.2,9.7 %,98.6,192
43,Palm Crest Elementary,K-6,La Canada Unified,614,21.9,2.0 %,98.5,47
44,Turtle Rock Elementary,K-6,Irvine Unified,883,29.4,12.6 %,98.5,68
45,Tustin Memorial Elementary,K-5,Tustin Unified,618,29.4,7.0 %,98.5,78
46,L. P. Collins Elementary,K-5,Cupertino Union,719,23.9,1.8 %,98.5,34
47,Warm Springs Elementary,3-6,Fremont Unified,886,27.6,4.7 %,98.5,97
48,Dingeman Elementary,K-5,San Diego Unified,858,27.6,7.5 %,98.5,70
49,Jerabek Elementary,K-5,San Diego Unified,647,24.8,6.8 %,98.5,31
50,Frank L. Huff Elementary,K-5,Mountain View Whisman,572,26,7.0 %,98.5,83
51,Golden View Elementary,K-5,San Ramon Valley Unified,690,23.7,4.9 %,98.5,40
52,La Canada Elementary,K-6,La Canada Unified,672,24,2.1 %,98.5,57
53,Carmel Del Mar Elementary,K-6,Del Mar Union Elementary,537,22.3,5.4 %,98.4,318
54,Franklin Elementary,K-5,Santa Monica-Malibu Unified,831,24.4,5.8 %,98.4,49
55,Alamo Elementary,K-5,San Ramon Valley Unified,378,25.2,2.1 %,98.4,124
56,Forest Park Elementary,K-6,Fremont Unified,"1,022",28.3,4.8 %,98.4,51
57,Coyote Creek Elementary,K-5,San Ramon Valley Unified,"1,052",25,4.2 %,98.4,119
58,North Hillsborough,K-5,Hillsborough City Elementary,323,17.9,0.9 %,98.4,61
59,Happy Valley Elementary,K-5,Lafayette Elementary,526,23.9,0.6 %,98.4,53
60,Old Mill Elementary,K-5,Mill Valley Elementary,328,23.4,0.9 %,98.3,27
61,Camarillo Academy of Progressive Education,K-12,Oxnard Union High,569,23.7,6.2 %,98.2,363
62,Elevate Elementary,K-5,San Diego Unified,214,21.4,46.7 %,98.2,
63,Robert C. Fisler Elementary,K-8,Fullerton Elementary,914,29.4,5.4 %,98.2,235
64,Gonsalves (Joe A.) Elementary,K-6,ABC Unified,643,25.7,19.0 %,98.2,65
65,Deer Canyon Elementary,K-5,Poway Unified,504,24,8.5 %,98.2,29
66,Hidden Hills Elementary,K-5,San Ramon Valley Unified,"1,000",26.3,3.1 %,98.2,58
67,Franklin Elementary,K-5,Burlingame Elementary,609,25.3,3.1 %,98.1,135
68,Sleepy Hollow Elementary,K-5,Orinda Union Elementary,389,24.3,0.8 %,98.1,24
69,Leal (Frank C.) Elementary,K-6,ABC Unified,739,26.3,17.2 %,98.1,66
70,James S. Fugman Elementary,K-6,Clovis Unified,810,28.9,10.1 %,98.1,130
71,Huntington Seacliff Elementary,K-5,Huntington Beach City Elementary,728,28,4.4 %,98.1,55
72,R. I. Meyerholz Elementary,K-5,Cupertino Union,776,24.2,3.6 %,98.1,60
73,Oxford Preparatory Academy - South Orange County,K-8,Capistrano Unified,878,29.2,10.7 %,98.1,112
74,Lafayette Elementary,K-5,Lafayette Elementary,546,24.8,4.4 %,98.1,240
75,Solana Ranch Elementary,K-6,Solana Beach Elementary,529,22,4.0 %,98.1,
76,Overland Avenue Elementary,K-5,Los Angeles Unified,500,22.7,6.8 %,98.1,45
77,Graystone Elementary,K-5,San Jose Unified,651,25,7.2 %,98.1,86
78,Glorietta Elementary,K-5,Orinda Union Elementary,443,24.6,0.7 %,98.1,129
79,Richard Henry Lee Elementary,K-5,Los Alamitos Unified,658,26.3,14.4 %,98.1,176
80,Francis Hopkinson Elementary,K-5,Los Alamitos Unified,702,26,6.7 %,98.1,71
81,Abraham Lincoln Elementary,K-5,Cupertino Union,663,25.5,1.2 %,98,42
82,Del Mar Hills Elementary,K-6,Del Mar Union Elementary,322,21.4,7.5 %,98,328
83,Ross Elementary,K-8,Ross Elementary,384,14.7,0.0 %,98,99
84,Torrey Pines Elementary,K-5,San Diego Unified,503,22.8,12.1 %,98,115
85,Gardner Bullis Elementary,K-6,Los Altos Elementary,352,25.1,0.9 %,98,110
86,Tulita Elementary,K-5,Redondo Beach Unified,522,24.8,13.6 %,98,162
87,Montecito Union,K-6,Montecito Union Elementary,438,16.2,8.0 %,98,48
88,Chinese Immersion School at DeAvila,K-5,San Francisco Unified,405,23.8,14.8 %,98,186
89,Christa McAuliffe Elementary,K-8,Cupertino Union,486,22,2.5 %,98,282
90,Pico Canyon Elementary,K-6,Newhall,956,25.1,14.8 %,97.9,175
91,Pacific Elementary,K-5,Manhattan Beach Unified,627,23.2,1.6 %,97.9,73
92,Oak Avenue Elementary,K-6,Los Altos Elementary,444,23.3,1.1 %,97.9,14
93,Arroyo Vista Elementary,K-5,South Pasadena Unified,703,23.4,10.1 %,97.9,173
94,R. Roger Rowe Elementary,K-5,Rancho Santa Fe Elementary,427,17,1.9 %,97.9,199
95,Sage Canyon,K-6,Del Mar Union Elementary,753,22.1,1.5 %,97.9,72
96,Oak Knoll Elementary,K-5,Menlo Park City Elementary,738,19.4,4.3 %,97.9,139
97,Park Village Elementary,K-5,Poway Unified,635,25.4,5.5 %,97.9,133
98,Russell Ranch Elementary,K-5,Folsom-Cordova Unified,672,25.8,4.6 %,97.8,238
99,Warner Avenue Elementary,K-5,Los Angeles Unified,698,23.2,6.6 %,97.8,120
100,Sandpiper Elementary,K-5,Belmont-Redwood Shores Elementary,502,25.1,4.6 %,97.8,184
101,Bollinger Canyon Elementary,K-5,San Ramon Valley Unified,607,23.3,4.0 %,97.8,215
102,College Park Elementary,K-5,San Mateo-Foster City,455,25.2,7.0 %,97.8,118
103,Brywood Elementary,K-6,Irvine Unified,579,30.4,15.2 %,97.8,229
104,Palisades Charter Elementary,K-5,Los Angeles Unified,525,22.8,5.7 %,97.8,142
105,Brookside Elementary,K-5,Ross Valley Elementary,369,21.7,7.1 %,97.8,337
106,Joshua Chadbourne Elementary,K-6,Fremont Unified,788,27.1,6.7 %,97.8,43
107,Balboa Gifted/High Ability Magnet Elementary,1-5,Los Angeles Unified,748,28.7,23.8 %,97.8,109
108,Holmes Elementary,K-6,San Diego Unified,550,27.5,21.6 %,97.8,257
109,Roosevelt Elementary,K-5,Santa Monica-Malibu Unified,798,23.4,12.2 %,97.7,177
110,Top of the World Elementary,K-5,Laguna Beach Unified,639,22,4.9 %,97.7,88
111,Ardenwood Elementary,K-6,Fremont Unified,989,27.4,7.6 %,97.7,121
112,Cornerstone at Pedregal Elementary,K-5,Palos Verdes Peninsula Unified,403,25.1,1.5 %,97.7,39
113,Garden Gate Elementary,K-5,Cupertino Union,680,24.2,1.8 %,97.7,90
114,Stevenson Elementary,K-5,Mountain View Whisman,388,25.8,9.3 %,97.7,163
115,John Green Elementary,K-5,Dublin Unified,891,24.7,2.2 %,97.7,131
116,Orchard Hills,K-8,Tustin Unified,"1,156",28.9,11.2 %,97.7,190
117,Camino Pablo Elementary,K-5,Moraga Elementary,402,21.1,1.0 %,97.7,64
118,Kensington Elementary,K-6,West Contra Costa Unified,534,26.7,6.2 %,97.7,182
119,Cumberland Elementary,K-5,Sunnyvale,745,24,5.8 %,97.7,276
120,La Entrada Middle,4-8,Las Lomitas Elementary,803,20.5,4.5 %,97.7,289
121,Juana Briones Elementary,K-5,Palo Alto Unified,335,19.7,12.8 %,97.7,134
122,Live Oak Elementary,K-5,San Ramon Valley Unified,"1,125",25.5,4.4 %,97.6,50
123,Central Elementary,K-5,Belmont-Redwood Shores Elementary,449,26.4,4.2 %,97.6,111
124,Lucille M. Nixon Elementary,K-5,Palo Alto Unified,473,18.9,8.9 %,97.6,114
125,Del Sur Elementary,K-5,Poway Unified,705,27.1,9.2 %,97.6,127
126,Scripps Elementary,K-5,San Diego Unified,753,26.8,8.6 %,97.6,128
127,Paradise Canyon Elementary,K-6,La Canada Unified,717,23.9,1.8 %,97.6,82
128,Guadalupe Elementary,K-5,Union Elementary,567,23.6,6.4 %,97.6,52
129,Mound Elementary,K-5,Ventura Unified,569,25.8,8.3 %,97.6,164
130,Blossom Hill Elementary,K-5,Los Gatos Union Elementary,668,23.8,2.0 %,97.6,74
131,Stonegate Elementary,K-6,Irvine Unified,"1,031",30.3,9.5 %,97.6,69
132,Yu Ming Charter,K-8,Alameda County Office Of Education,307,21.9,6.8 %,97.6,274
133,Fairlands Elementary,K-5,Pleasanton Unified,785,27,6.9 %,97.5,261
134,Foothill Elementary,K-5,Saratoga Union Elementary,360,16.3,2.2 %,97.5,77
135,Henry P. Mohr Elementary,K-5,Pleasanton Unified,621,27,5.5 %,97.5,157
136,Creekside Elementary,K-5,Poway Unified,564,25.6,8.7 %,97.5,166
137,Jensen Ranch Elementary,K-5,Castro Valley Unified,439,25.8,5.2 %,97.5,96
138,Welby Way Charter Elementary School And Gifted-High Ability Magnet,K-5,Los Angeles Unified,810,26.1,11.9 %,97.5,113
139,Cold Spring Elementary,K-6,Cold Spring Elementary,151,15.1,2.0 %,97.5,158
140,Portola Springs Elementary,K-6,Irvine Unified,626,26,4.8 %,97.5,
141,Arnold Adreani Elementary,K-6,Elk Grove Unified,809,21.2,26.1 %,97.4,146
142,Mission Valley Elementary,K-6,Fremont Unified,670,24.8,7.8 %,97.4,56
143,Silver Oak Elementary,K-6,Evergreen Elementary,654,27.2,2.3 %,97.4,62
144,Corte Madera,4-8,Portola Valley Elementary,356,16.9,6.7 %,97.4,161
145,Los Coyotes Elementary,K-6,Centralia Elementary,533,26.6,19.7 %,97.4,151
146,Flora Vista Elementary,K-6,Encinitas Union Elementary,438,24.3,4.8 %,97.4,126
147,Olivenhain Pioneer Elementary,K-6,Encinitas Union Elementary,587,24.4,2.6 %,97.3,137
148,Donald L. Rheem Elementary,K-5,Moraga Elementary,410,22.7,2.2 %,97.3,132
149,Bellevue-Santa Fe Charter,K-6,San Luis Coastal Unified,160,22.8,5.0 %,97.3,95
150,Point Vicente Elementary,K-5,Palos Verdes Peninsula Unified,374,23.3,8.6 %,97.3,260
151,West Hollywood Elementary,K-5,Los Angeles Unified,387,25.8,15.0 %,97.3,209
152,Havens Elementary,K-5,Piedmont City Unified,497,22.5,0.6 %,97.3,165
153,El Camino Creek Elementary,K-6,Encinitas Union Elementary,643,25.7,3.3 %,97.3,117
154,Aurelia Pennekamp Elementary,K-5,Manhattan Beach Unified,560,25.4,1.6 %,97.2,159
155,Baldwin Stocker Elementary,K-5,Arcadia Unified,709,27.2,15.9 %,97.2,287
156,Fred E. Weibel Elementary,K-6,Fremont Unified,880,29.3,6.0 %,97.2,87
157,Clover Avenue Elementary,K-5,Los Angeles Unified,604,24.1,20.7 %,97.2,221
158,C. B. Eaton Elementary,K-5,Cupertino Union,555,23.1,2.5 %,97.2,200
159,Washington Elementary,K-5,Santa Clara Unified,345,31.3,9.9 %,97.2,522
160,Austin Creek Elementary,K-6,Rincon Valley Union Elementary,420,23.3,5.2 %,97.2,170
161,S. A. Moffett Elementary,K-5,Huntington Beach City Elementary,559,29.4,10.9 %,97.2,107
162,Oak Hills Elementary,K-5,Oak Park Unified,532,26.6,4.1 %,97.1,136
163,Monte Vista Elementary,K-6,Glendale Unified,764,26.3,11.0 %,97.1,262
164,Sandra J. Gallardo Elementary,K-5,Folsom-Cordova Unified,551,26.2,7.3 %,97.1,296
165,Opal Robinson Elementary,K-5,Manhattan Beach Unified,408,24,1.7 %,97.1,32
166,Oster Elementary,K-5,Union Elementary,553,25.1,12.1 %,97.1,222
167,Ralph E. Hawes Elementary,K-5,Huntington Beach City Elementary,668,27.8,8.5 %,97.1,106
168,Carolyn A. Clark Elementary,K-6,Evergreen Elementary,732,25.2,7.4 %,97.1,141
169,Encinal Elementary,K-5,Menlo Park City Elementary,765,18.2,6.0 %,97.1,212
170,Newland (William T.) Elementary,K-5,Fountain Valley Elementary,486,25.5,14.6 %,97.1,183
171,Phoebe Apperson Hearst Elementary,K-5,Pleasanton Unified,689,26.5,7.4 %,97.1,179
172,Willow Grove Elementary,K-5,Poway Unified,764,25.4,10.5 %,97,102
173,Wade Thomas Elementary,K-5,Ross Valley Elementary,398,22.1,8.5 %,97,148
174,Harold William Kolb,K-5,Dublin Unified,836,25.3,3.6 %,97,236
175,Duveneck Elementary,K-5,Palo Alto Unified,479,19.9,6.1 %,97,80
176,Valley View Elementary,K-6,Rocklin Unified,421,26.3,8.3 %,97,180
177,Vintage Hills Elementary,K-5,Pleasanton Unified,611,24.4,2.8 %,96.9,152
178,Ashley Falls Elementary,K-6,Del Mar Union Elementary,410,20.5,4.2 %,96.9,193
179,Carlton Elementary,K-5,Union Elementary,692,24.7,5.5 %,96.9,246
180,Country Springs Elementary,K-6,Chino Valley Unified,529,25.1,15.1 %,96.9,216
181,Phoebe A. Hearst Elementary,K-6,Sacramento City Unified,642,30.5,22.1 %,96.9,223
182,Vista Verde,K-8,Irvine Unified,947,27.8,3.8 %,96.9,89
183,Marengo Elementary,K-5,South Pasadena Unified,753,25.1,14.3 %,96.9,220
184,Loyola Elementary,K-6,Los Altos Elementary,505,22.9,1.2 %,96.9,264
185,Marin Elementary,K-5,Albany City Unified,497,23.6,13.7 %,96.9,242
186,Longley Way Elementary,K-5,Arcadia Unified,494,22.4,27.5 %,96.9,626
187,Monterey Ridge Elementary,K-5,Poway Unified,"1,038",25.9,5.3 %,96.9,171
188,West Hillsborough,K-5,Hillsborough City Elementary,381,21.1,0.0 %,96.9,104
189,Acacia Elementary,K-6,Fullerton Elementary,716,32.5,14.5 %,96.9,227
190,Walter Hays Elementary,K-5,Palo Alto Unified,463,17.8,8.0 %,96.8,79
191,Santiago Hills Elementary,K-6,Irvine Unified,625,25,10.2 %,96.8,169
192,Cherry Chase Elementary,K-5,Sunnyvale,852,25,2.5 %,96.8,150
193,Grand View Elementary,K-5,Manhattan Beach Unified,733,23.6,1.2 %,96.8,149
194,Roy O. Andersen Elementary,K-6,Newport-Mesa Unified,371,24.7,4.0 %,96.8,41
195,Louis E. Stocklmeir Elementary,K-5,Cupertino Union,"1,192",23.3,2.9 %,96.8,156
196,James Franklin Smith Elementary,K-6,Evergreen Elementary,742,26.5,7.8 %,96.8,145
197,Oak Hills Elementary,K-6,Newhall,589,25.6,8.0 %,96.8,93
198,Foothill Elementary,K-6,Goleta Union Elementary,446,22.3,16.4 %,96.8,346
199,Stone Creek Elementary,K-6,Irvine Unified,588,30.9,10.0 %,96.8,196
200,Ulloa Elementary,K-5,San Francisco Unified,514,23.3,58.8 %,96.7,206
201,Curie Elementary,K-5,San Diego Unified,587,26.6,14.1 %,96.7,188
202,Evergreen Elementary,K-6,Evergreen Elementary,787,26.2,7.6 %,96.7,239
203,Dwight D. Eisenhower Elementary,K-5,Cupertino Union,668,23,6.4 %,96.7,271
204,Montclaire Elementary,K-5,Cupertino Union,480,22.8,1.9 %,96.6,108
205,Santa Rosa Technology Magnet,K-8,Pleasant Valley,592,23.6,8.3 %,96.6,284
206,Hollister Prep,K-8,Hollister,302,27.4,16.9 %,96.6,277
207,Red Oak Elementary,K-5,Oak Park Unified,595,25.8,6.2 %,96.6,181
208,West Valley Elementary,K-5,Cupertino Union,633,25.3,2.4 %,96.6,370
209,Peters Canyon Elementary,K-5,Tustin Unified,560,28,5.4 %,96.6,100
210,Sycamore Ridge,K-6,Del Mar Union Elementary,481,20.9,9.8 %,96.6,37
211,Leonard G. Westhoff Elementary,K-5,Walnut Valley Unified,603,27.4,10.0 %,96.6,278
212,Lincoln Elementary,K-5,Burlingame Elementary,486,24.3,6.8 %,96.6,327
213,Canyon View Elementary,K-6,Irvine Unified,801,28.6,6.4 %,96.6,160
214,John Muir Elementary,K-5,Cupertino Union,400,25,2.3 %,96.5,144
215,Harbor View Elementary,K-6,Newport-Mesa Unified,428,23.7,5.8 %,96.5,303
216,Los Perales Elementary,K-5,Moraga Elementary,393,21.8,1.3 %,96.5,81
217,Lawton Alternative Elementary,K-8,San Francisco Unified,599,22.1,49.8 %,96.5,406
218,Bird Rock Elementary,K-5,San Diego Unified,516,28.6,8.1 %,96.5,103
219,Almond Elementary,K-6,Los Altos Elementary,536,24.3,8.4 %,96.5,268
220,Mt. Everest Academy,K-12,San Diego Unified,263,18.7,24.3 %,96.5,101
221,Fairburn Avenue Elementary,K-5,Los Angeles Unified,454,23.8,7.9 %,96.5,218
222,Morris E. Dailey Charter Elementary,K-5,Fresno Unified,348,29,35.3 %,96.5,413
223,KIPP Raices Academy,K-4,Los Angeles Unified,548,19.5,91.2 %,96.5,76
224,Palo Verde Elementary,K-5,Palo Alto Unified,415,20.7,3.6 %,96.5,205
225,Margaret Landell Elementary,K-6,Cypress Elementary,731,28.1,10.9 %,96.4,167
226,Vista Grande Elementary,K-5,Palos Verdes Peninsula Unified,439,25.8,2.3 %,96.4,310
227,Dapplegray Elementary,K-5,Palos Verdes Peninsula Unified,599,27.2,4.3 %,96.4,259
228,Rossmoor Elementary,K-5,Los Alamitos Unified,648,25.9,11.9 %,96.4,237
229,Stone Ranch Elementary,K-5,Poway Unified,956,25.8,4.8 %,96.4,214
230,Gilroy Prep (A Navigator School),K-8,Gilroy Unified,417,27.8,51.1 %,96.4,821
231,Creekside Elementary,K-5,San Ramon Valley Unified,749,24.1,3.6 %,96.3,213
232,Solana Santa Fe Elementary,K-6,Solana Beach Elementary,348,19.3,5.2 %,96.3,248
233,Mission Estancia Elementary,K-6,Encinitas Union Elementary,537,24.4,7.1 %,96.3,396
234,John H. Eader Elementary,K-5,Huntington Beach City Elementary,611,29,12.6 %,96.3,340
235,Burton Valley Elementary,K-5,Lafayette Elementary,798,23.4,1.4 %,96.3,275
236,Foster City Elementary,K-5,San Mateo-Foster City,897,24.9,1.8 %,96.3,251
237,Lakeview Elementary,K-5,Rescue Union Elementary,525,23.8,4.4 %,96.3,354
238,Heather Elementary,K-4,San Carlos Elementary,432,20.5,11.6 %,96.2,561
239,Country Lane Elementary,K-5,Moreland,659,23.5,10.0 %,96.2,244
240,Stevens Creek Elementary,K-5,Cupertino Union,606,25.2,2.2 %,96.2,185
241,Springhill Elementary,K-5,Lafayette Elementary,486,20.2,2.5 %,96.2,228
242,Meadows Avenue Elementary,K-5,Manhattan Beach Unified,431,23.9,4.4 %,96.2,285
243,Santa Rita Elementary,K-6,Los Altos Elementary,558,22.3,13.3 %,96.2,301
244,Simonds Elementary,K-5,San Jose Unified,737,27.2,5.7 %,96.2,317
245,Adobe Bluffs Elementary,K-5,Poway Unified,352,23.4,10.2 %,96.2,168
246,Circle View Elementary,K-5,Ocean View,677,27,18.9 %,96.1,379
247,Amelia Earhart Elementary,K-5,Alameda Unified,622,24.8,7.4 %,96.1,283
248,Colfax Charter Elementary,K-5,Los Angeles Unified,682,26.2,22.1 %,96.1,366
249,Saratoga Elementary,K-5,Saratoga Union Elementary,355,19.7,0.9 %,96,54
250,Terra Vista Elementary,K-5,Etiwanda Elementary,804,22.9,32.6 %,96,357
251,Cipriani Elementary,K-5,Belmont-Redwood Shores Elementary,365,24.3,2.7 %,96,418
252,Jefferson Elementary,K-5,Redondo Beach Unified,639,25.5,5.2 %,96,123
253,Sycamore Valley Elementary,K-5,San Ramon Valley Unified,643,24.7,1.2 %,96,231
254,Newport Coast Elementary,K-6,Newport-Mesa Unified,549,23.8,4.4 %,95.9,291
255,Parkmont Elementary,K-6,Fremont Unified,895,27.1,9.7 %,95.9,256
256,Woodland Hills Elementary Charter For Enriched Studies,K-5,Los Angeles Unified,712,25.4,12.4 %,95.9,91
257,Holly Avenue Elementary,K-5,Arcadia Unified,705,25.1,27.4 %,95.9,444
258,Ohlone Elementary,K-5,Palo Alto Unified,600,19.3,2.7 %,95.9,194
259,Edna Maguire Elementary,K-5,Mill Valley Elementary,573,22,3.3 %,95.9,211
260,Ericson Elementary,K-5,San Diego Unified,723,24.9,40.9 %,95.9,415
261,Broadway Elementary,K-6,Los Angeles Unified,601,25,20.6 %,95.9,446
262,Roosevelt Elementary,K-5,Burlingame Elementary,347,21.6,10.7 %,95.9,243
263,Addison Elementary,K-5,Palo Alto Unified,475,21.5,11.0 %,95.9,304
264,Quail Summit Elementary,K-5,Walnut Valley Unified,663,27.6,13.4 %,95.8,154
265,Torrey Hills,K-6,Del Mar Union Elementary,631,22.5,2.9 %,95.8,267
266,William Brooks Elementary,K-5,Buckeye Union Elementary,517,25.8,7.5 %,95.8,518
267,James Dougherty Elementary,K-5,Dublin Unified,874,24.2,2.2 %,95.8,189
268,Clay Elementary,K-8,Clay Joint Elementary,236,26.2,21.2 %,95.7,470
269,Kimberly Elementary,K-5,Redlands Unified,589,24.5,37.4 %,95.7,600
270,Aviara Oaks Elementary,K-5,Carlsbad Unified,700,28,16.3 %,95.7,270
271,Courreges (Roch) Elementary,K-5,Fountain Valley Elementary,670,27.9,14.8 %,95.7,321
272,Fairmont Elementary,K-6,Placentia-Yorba Linda Unified,908,29.2,10.1 %,95.7,225
273,Patton Elementary,K-6,Garden Grove Unified,"1,008",26.5,25.6 %,95.7,371
274,Lang Ranch,K-5,Conejo Valley Unified,665,22.9,6.3 %,95.7,306
275,Liberty Elementary,1-6,Liberty Elementary,175,25,16.0 %,95.7,579
276,South Hillsborough,K-5,Hillsborough City Elementary,243,17.3,0.0 %,95.7,44
277,Veterans Elementary,K-6,Chula Vista Elementary,910,24.5,21.0 %,95.7,653
278,Arma J. Shull Elementary,K-5,Bonita Unified,604,27.4,33.9 %,95.7,399
279,Noddin Elementary,K-5,Union Elementary,652,25,10.9 %,95.7,422
280,Sunset View Elementary,K-4,San Diego Unified,478,23.9,14.2 %,95.7,92
281,Alta Vista Elementary,K-5,Union Elementary,647,24.8,2.8 %,95.7,331
282,Marvin Elementary,K-5,San Diego Unified,421,23.3,26.1 %,95.7,411
283,Miramar Ranch Elementary,K-5,San Diego Unified,758,26.1,17.0 %,95.7,394
284,Cerritos Elementary,K-6,ABC Unified,668,27.8,17.8 %,95.6,250
285,Strawberry Point Elementary,K-5,Mill Valley Elementary,416,23.1,9.4 %,95.6,311
286,Marshall Lane Elementary,K-5,Campbell Union,572,24.8,7.2 %,95.6,322
287,Crescent Elementary,K-6,Orange Unified,782,30,14.3 %,95.6,385
288,La Costa Heights Elementary,K-6,Encinitas Union Elementary,711,24.5,6.6 %,95.6,428
289,Alta Vista Elementary,K-5,Redondo Beach Unified,664,23.7,10.7 %,95.6,298
290,Lowell Elementary,K-5,Long Beach Unified,747,27.6,13.3 %,95.6,471
291,Chabot Elementary,K-5,Oakland Unified,567,25.7,14.1 %,95.6,335
292,Union Street Charter,K-5,Arcata Elementary,99,16.5,13.1 %,95.6,153
293,Fairmeadow Elementary,K-5,Palo Alto Unified,514,21.4,7.4 %,95.5,85
294,John Baldwin Elementary,K-5,San Ramon Valley Unified,576,25,1.7 %,95.5,372
295,El Marino Elementary,K-5,Culver City Unified,827,23.6,9.6 %,95.5,265
296,Anza Elementary,K-5,Torrance Unified,626,26,10.2 %,95.5,395
297,Soleado Elementary,K-5,Palos Verdes Peninsula Unified,459,27,3.9 %,95.5,198
298,Woodside Elementary,K-8,Woodside Elementary,409,11.3,10.0 %,95.5,208
299,Laurel Elementary,K-5,Menlo Park City Elementary,542,20,8.3 %,95.4,279
300,Oak Meadow Elementary,K-5,Buckeye Union Elementary,758,25.2,7.8 %,95.4,404
301,Sunset Elementary,K-5,San Francisco Unified,403,22.3,26.8 %,95.4,174
302,Carmel River Elementary,K-5,Carmel Unified,455,20.6,6.4 %,95.4,249
303,Porter Ranch Community,K-8,Los Angeles Unified,"1,093",26,9.2 %,95.4,197
304,Laguna Road Elementary,K-6,Fullerton Elementary,666,31.7,9.5 %,95.3,191
305,Cove,K-5,Larkspur-Corte Madera,452,25.1,9.5 %,95.3,
306,Lilienthal (Claire) Elementary,K-8,San Francisco Unified,678,21.8,23.0 %,95.3,269
307,El Carmelo Elementary,K-5,Palo Alto Unified,395,20.7,11.4 %,95.3,84
308,Hillcrest Elementary,K-8,Oakland Unified,366,26.1,5.5 %,95.2,273
309,Dixie Elementary,K-5,Dixie Elementary,397,20.8,2.8 %,95.2,361
310,Tice Creek,K-8,Walnut Creek Elementary,298,22.9,3.7 %,95.2,
311,D. J. Sedgwick Elementary,K-5,Cupertino Union,644,24.7,4.0 %,95.2,234
